Tiempo Posicion_Euler Velocidad_Euler Posicion_Leapfrog Velocidad_Leapfrog
0.0288 0.0898423 -0.695623 0.0898087 -0.695499
0.0289 0.0897727 -0.697869 0.089739 -0.697744
0.029 0.0897029 -0.700114 0.0896692 -0.699987
0.0291 0.0896329 -0.702356 0.0895991 -0.702229
0.0292 0.0895627 -0.704597 0.0895287 -0.704469
0.0293 0.0894922 -0.706836 0.0894582 -0.706707
0.0294 0.0894215 -0.709074 0.0893874 -0.708944
0.0295 0.0893506 -0.711309 0.0893164 -0.711178
0.0296 0.0892795 -0.713543 0.0892451 -0.713411
0.0297 0.0892081 -0.715775 0.0891737 -0.715642
0.0298 0.0891366 -0.718005 0.089102 -0.717872
0.0299 0.0890648 -0.720233 0.0890301 -0.720099
0.03 0.0889927 -0.72246 0.088958 -0.722325
0.0301 0.0889205 -0.724685 0.0888856 -0.724549
0.0302 0.088848 -0.726908 0.0888131 -0.726771
0.0303 0.0887753 -0.729129 0.0887403 -0.728991
0.0304 0.0887024 -0.731348 0.0886673 -0.73121
0.0305 0.0886293 -0.733566 0.0885941 -0.733427
0.0306 0.0885559 -0.735782 0.0885206 -0.735641
0.0307 0.0884824 -0.737996 0.0884469 -0.737854
0.0308 0.0884086 -0.740208 0.088373 -0.740066
0.0309 0.0883345 -0.742418 0.0882989 -0.742275
0.031 0.0882603 -0.744626 0.0882246 -0.744482
0.0311 0.0881858 -0.746833 0.08815 -0.746688
0.0312 0.0881112 -0.749037 0.0880752 -0.748892
0.0313 0.0880362 -0.75124 0.0880002 -0.751094
0.0314 0.0879611 -0.753441 0.087925 -0.753294
0.0315 0.0878858 -0.75564 0.0878496 -0.755492
0.0316 0.0878102 -0.757837 0.0877739 -0.757688
0.0317 0.0877344 -0.760033 0.087698 -0.759882
0.0318 0.0876584 -0.762226 0.0876219 -0.762075
0.0319 0.0875822 -0.764417 0.0875456 -0.764265
0.032 0.0875058 -0.766607 0.0874691 -0.766454
0.0321 0.0874291 -0.768795 0.0873923 -0.768641
0.0322 0.0873522 -0.77098 0.0873154 -0.770826
0.0323 0.0872751 -0.773164 0.0872382 -0.773008
0.0324 0.0871978 -0.775346 0.0871608 -0.775189
0.0325 0.0871203 -0.777526 0.0870831 -0.777368
0.0326 0.0870425 -0.779704 0.0870053 -0.779546
0.0327 0.0869646 -0.78188 0.0869272 -0.781721
0.0328 0.0868864 -0.784054 0.0868489 -0.783894
0.0329 0.086808 -0.786226 0.0867704 -0.786065
0.033 0.0867293 -0.788396 0.0866917 -0.788234
0.0331 0.0866505 -0.790565 0.0866128 -0.790402
0.0332 0.0865714 -0.792731 0.0865336 -0.792567
0.0333 0.0864922 -0.794895 0.0864543 -0.79473
0.0334 0.0864127 -0.797058 0.0863747 -0.796892
0.0335 0.086333 -0.799218 0.0862949 -0.799051
0.0336 0.086253 -0.801376 0.0862149 -0.801208
0.0337 0.0861729 -0.803533 0.0861347 -0.803364
0.0338 0.0860926 -0.805687 0.0860542 -0.805517
0.0339 0.086012 -0.807839 0.0859736 -0.807668
0.034 0.0859312 -0.809989 0.0858927 -0.809818
0.0341 0.0858502 -0.812138 0.0858116 -0.811965
0.0342 0.085769 -0.814284 0.0857303 -0.81411
0.0343 0.0856876 -0.816428 0.0856488 -0.816254
0.0344 0.0856059 -0.81857 0.085567 -0.818395
0.0345 0.0855241 -0.820711 0.0854851 -0.820534
0.0346 0.085442 -0.822849 0.0854029 -0.822671
0.0347 0.0853597 -0.824985 0.0853206 -0.824806
0.0348 0.0852772 -0.827119 0.085238 -0.826939
0.0349 0.0851945 -0.829251 0.0851552 -0.82907
0.035 0.0851116 -0.83138 0.0850722 -0.831199
0.0351 0.0850284 -0.833508 0.0849889 -0.833326
0.0352 0.0849451 -0.835634 0.0849055 -0.835451
0.0353 0.0848615 -0.837758 0.0848218 -0.837573
0.0354 0.0847777 -0.839879 0.084738 -0.839694
0.0355 0.0846938 -0.841999 0.0846539 -0.841812
0.0356 0.0846096 -0.844116 0.0845696 -0.843929
0.0357 0.0845251 -0.846231 0.0844851 -0.846043
0.0358 0.0844405 -0.848344 0.0844004 -0.848155
0.0359 0.0843557 -0.850455 0.0843155 -0.850265
0.036 0.0842706 -0.852564 0.0842304 -0.852373
0.0361 0.0841854 -0.854671 0.084145 -0.854479
0.0362 0.0840999 -0.856776 0.0840595 -0.856582
0.0363 0.0840142 -0.858878 0.0839737 -0.858684
0.0364 0.0839284 -0.860978 0.0838877 -0.860783
0.0365 0.0838423 -0.863077 0.0838015 -0.86288
0.0366 0.0837559 -0.865173 0.0837151 -0.864975
0.0367 0.0836694 -0.867267 0.0836285 -0.867068
0.0368 0.0835827 -0.869358 0.0835417 -0.869159
0.0369 0.0834958 -0.871448 0.0834547 -0.871247
0.037 0.0834086 -0.873535 0.0833675 -0.873334
0.0371 0.0833213 -0.875621 0.08328 -0.875418
0.0372 0.0832337 -0.877704 0.0831924 -0.8775
0.0373 0.0831459 -0.879784 0.0831045 -0.87958
0.0374 0.083058 -0.881863 0.0830165 -0.881657
0.0375 0.0829698 -0.88394 0.0829282 -0.883733
0.0376 0.0828814 -0.886014 0.0828397 -0.885806
0.0377 0.0827928 -0.888086 0.0827511 -0.887877
0.0378 0.082704 -0.890156 0.0826622 -0.889946
0.0379 0.082615 -0.892223 0.0825731 -0.892012
0.038 0.0825257 -0.894289 0.0824838 -0.894077
0.0381 0.0824363 -0.896352 0.0823943 -0.896139
0.0382 0.0823467 -0.898413 0.0823045 -0.898199
0.0383 0.0822568 -0.900471 0.0822146 -0.900256
0.0384 0.0821668 -0.902528 0.0821245 -0.902312
0.0385 0.0820765 -0.904582 0.0820342 -0.904365
0.0386 0.0819861 -0.906634 0.0819436 -0.906416
0.0387 0.0818954 -0.908683 0.0818529 -0.908464
0.0388 0.0818045 -0.910731 0.0817619 -0.910511
0.0389 0.0817135 -0.912776 0.0816708 -0.912555
0.039 0.0816222 -0.914819 0.0815794 -0.914596
0.0391 0.0815307 -0.916859 0.0814878 -0.916636
0.0392 0.081439 -0.918898 0.0813961 -0.918673
0.0393 0.0813471 -0.920934 0.0813041 -0.920708
