Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0157,0.984521,0.887275,1.21871e-76,5.59871e-67
0.0158,0.984423,0.887187,1.88614e-259,3.25196e-86
0.0159,0.984324,0.887098,1.21753e-76,2.83004e-77
0.016,0.984226,0.887009,3.25196e-86,3.25195e-86
0.0161,0.984127,0.88692,1.21737e-76,7.97809e-72
0.0162,0.984029,0.886832,1.39834e-259,1.69094e-52
0.0163,0.983931,0.886743,1.2177e-76,6.74349e-67
0.0164,0.983832,0.886654,3.25196e-86,1.39737e-76
0.0165,0.983734,0.886566,1.1796e-95,7.41248e-38
0.0166,0.983635,0.886477,5.06035e-38,1.03842e-95
0.0167,0.983537,0.886388,9.45148e-96,6.00893e-67
0.0168,0.983439,0.8863,1.21838e-76,4.65924e-33
0.0169,0.98334,0.886211,1.45136e-47,7.70747e-43
0.017,0.983242,6.95335e-310,3.94181e-62,1.7462e-76
0.0171,0.983144,4.05578e-320,1.69013e-52,3.25195e-86
0.0172,0.983045,8.24058e+06,1.04043e-95,1.21753e-76
0.0173,0.982947,9.76514e+199,4.0792e-33,1.64383e-259
0.0174,0.982849,3.65104e+233,1.91554e-76,1.21854e-76
0.0175,0.982751,1.378e-94,1.30353e-76,8.047e-96
0.0176,0.982652,8.03966e-96,4.84957e-33,1.79372e-52
0.0177,0.982554,3.22523e-86,1.2182e-76,8.54295e-72
0.0178,0.982456,1.21736e-76,8.05432e-96,3.22525e-86
0.0179,0.982357,1.21871e-76,6.38711e-67,2.90702e-33
0.018,0.982259,1.88614e-259,1.0856e-95,3.45301e-86
0.0181,0.982161,1.21753e-76,1.21787e-76,1.83087e-76
0.0182,0.982063,3.25196e-86,6.81899e-38,3.88886e-33
0.0183,0.981965,1.21737e-76,3.88661e-33,1.39737e-76
0.0184,0.981866,1.39834e-259,1.30353e-76,1.371e-71
0.0185,0.981768,1.2177e-76,4.84957e-33,4.85709e-33
0.0186,0.98167,3.25196e-86,1.21854e-76,4.65698e-33
0.0187,0.981572,1.1796e-95,1.0867e-95,4.43575e-38
0.0188,0.981474,5.06035e-38,3.50521e-33,3.22524e-86
0.0189,0.981376,9.45148e-96,1.17923e-95,2.90702e-33
0.019,0.981277,1.21838e-76,1.21754e-76,4.86055e-86
0.0191,0.981179,1.45136e-47,1.08516e-42,3.57281e-62
0.0192,0.981081,3.94181e-62,1.10871e-47,5.93622e-38
0.0193,0.980983,1.69013e-52,9.1622e-72,1.21736e-76
0.0194,0.980885,1.04043e-95,8.0635e-96,1.80483e-259
0.0195,0.980787,4.0792e-33,1.6561e-47,1.21753e-76
0.0196,0.980689,1.91554e-76,9.95479e-43,8.51521e-96
0.0197,0.980591,1.30353e-76,9.1622e-72,3.37984e-57
0.0198,0.980493,4.84957e-33,1.18088e-95,1.21736e-76
0.0199,0.980395,1.2182e-76,1.08557e-71,1.88645e-259
0.02,0.980297,8.05432e-96,3.66917e-62,1.2177e-76
0.0201,0.980199,6.38711e-67,3.22523e-86,8.5152e-96
0.0202,0.980101,1.0856e-95,2.90702e-33,4.2718e-33
0.0203,0.980003,1.21787e-76,3.45301e-86,1.69094e-52
0.0204,0.979905,5.20462e-90,2.90254e-57,1.89977e-52
0.0205,0.979807,1.57076e-76,9.72822e-72,2.89755e-57
0.0206,0.979709,4.85637e-33,9.1622e-72,2.00495e-76
0.0207,0.979611,2.58017e-57,7.11866e-38,1.21737e-76
0.0208,0.979513,5.22782e-67,6.59067e-43,9.35442e-67
0.0209,0.979415,5.20461e-90,4.75959e-38,1.39737e-76
0.021,0.979317,4.85709e-33,1.20121e-71,1.13105e-42
0.0211,0.979219,2.82793e-77,6.81671e-38,8.5981e-67
